Timestamp,What is your age? Mark the range that applies to you.,Who do you share your living environment with?,What smart-home voice assistant do you currently own? ,"From a scale of 1-10 mark your usage of the device. 1 being least, 10 being most.","On a scale of 1-10, to what extent do you use your smart device’s features? (With 1 being “not at all” and 10 being “using its features to its full capabilities”)","From a scale of 1-10 how often do you think about your privacy when using the device’s features? (1 being least, 10 being most)",I am concerned about my privacy when using the device’s features.,"Since acquiring the device, has any change occurred in the amount of time you spend with your families and friends?","On a scale of 1-10, how connected do you feel with your device? (With 1 being “not connected at all” and 10 being“completely connected”)",I find the device difficult or challenging to use. ,I feel safe when using the device.,I have been satisfied with the device since I acquired it.,My hobbies have changed since I acquired the device.
2018/02/18 11:39:38 AM EST,23-27,Friends/roommates,Google Home,5,5,4,Neither agree nor disagree,No notable changes,6,Disagree,Agree,Agree,Neither agree nor disagree
2018/02/18 1:06:20 PM EST,23-27,No one,Amazon Echo,8,8,1,Strongly disagree,No notable changes,5,Strongly disagree,Strongly Agree,Agree,Agree
2018/02/19 6:30:25 PM EST,23-27,Friends/roommates,Google Home,8,10,3,Agree,No notable changes,1,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
2018/02/19 6:38:24 PM EST,18-22,Family,Amazon Echo,5,7,5,Neither agree nor disagree,No notable changes,6,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2018/02/19 7:12:38 PM EST,35-50,Family,Google Home,2,3,10,Strongly agree,No notable changes,1,Agree,Disagree,Disagree,Neither agree nor disagree
2018/02/19 7:15:51 PM EST,23-27,Spouse,Google assistant,4,5,2,Neither agree nor disagree,No notable changes,1,Disagree,Agree,Neither agree nor disagree,Disagree
2018/02/19 7:58:45 PM EST,28-35,Adopted African child,Google Home,9,7,5,Option 3,Significant decrease in time spent with family,8,Disagree,Strongly Agree,Strongly agree,Disagree
2018/02/19 8:11:58 PM EST,18-22,Family,Smart TV,8,9,6,Neither agree nor disagree,No notable changes,7,Strongly disagree,Agree,Strongly agree,Disagree
2018/02/20 1:07:27 PM EST,28-35,Family,Google Home,1,2,10,Strongly agree,No notable changes,2,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree
2018/02/20 1:10:29 PM EST,28-35,Family,Amazon Echo,6,3,1,Disagree,No notable changes,5,Disagree,Agree,Agree,Disagree
2018/02/20 1:11:23 PM EST,18-22,Friends/roommates,Google Home,5,7,3,Disagree,No notable changes,3,Disagree,Agree,Strongly agree,Disagree
2018/02/20 1:12:49 PM EST,23-27,Significant other,Google Home,8,8,5,Neither agree nor disagree,No notable changes,7,Neither agree nor disagree,Agree,Disagree,Strongly disagree
2018/02/20 1:13:58 PM EST,23-27,Significant other,Google Home,8,7,6,Disagree,No notable changes,4,Disagree,Agree,Agree,Disagree
2018/02/20 1:14:25 PM EST,28-35,Spouse,Google Home and Amazon Echo,9,5,8,Agree,No notable changes,9,Disagree,Agree,Agree,Disagree
2018/02/20 1:18:10 PM EST,28-35,Significant other,Google Home Mini,8,6,2,Disagree,No notable changes,2,Disagree,Agree,Agree,Disagree
2018/02/20 1:34:56 PM EST,28-35,Spouse,Google Home,8,7,3,Disagree,No notable changes,,Neither agree nor disagree,Agree,Agree,Agree
2018/02/20 1:43:44 PM EST,23-27,Family,Google Home,8,5,3,Disagree,No notable changes,10,Disagree,Agree,Agree,Neither agree nor disagree
2018/02/20 1:53:06 PM EST,23-27,Significant other,Amazon Echo,7,6,4,Disagree,No notable changes,7,Disagree,Agree,Agree,Neither agree nor disagree
2018/02/21 1:25:36 AM EST,28-35,Live alone,Google Home,8,6,5,Neither agree nor disagree,No notable changes,5,Disagree,Agree,Agree,Disagree
2018/02/21 2:23:06 PM EST,23-27,Spouse,Both Amazon Echo and Google Home,3,3,3,Neither agree nor disagree,No notable changes,1,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
2018/02/22 10:24:17 AM EST,23-27,Live Alone,Google Home,8,10,2,Disagree,No notable changes,7,Disagree,Agree,Agree,Neither agree nor disagree
